[546549.680571] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8678, bssidx: 0
[546612.691838] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8679, bssidx: 0
[546675.737896] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8680, bssidx: 0
[546738.697092] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8681, bssidx: 0
[546801.701657] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8682, bssidx: 0
[546864.742972] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8683, bssidx: 0
[546927.721421] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8684, bssidx: 0
[546990.700692] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8685, bssidx: 0
[547053.696741] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8686, bssidx: 0
[547116.748156] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8687, bssidx: 0
[547179.751098] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8688, bssidx: 0
[547242.737742] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8689, bssidx: 0
[547305.747387] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8690, bssidx: 0
[547368.711136] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8691, bssidx: 0
[547431.720808] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8692, bssidx: 0
[547494.689876] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8693, bssidx: 0
[547557.736330] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8694, bssidx: 0
[547620.688903] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8695, bssidx: 0
[547683.746815] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8696, bssidx: 0
[547746.748004] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8697, bssidx: 0
[547809.705517] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8698, bssidx: 0
[547872.706354] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8699, bssidx: 0
[547935.740059] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8700, bssidx: 0
[547998.712749] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8701, bssidx: 0
[548061.740675] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8702, bssidx: 0
[548124.712771] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8703, bssidx: 0
[548187.738086] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8704, bssidx: 0
[548250.680681] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8705, bssidx: 0
[548313.737240] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8706, bssidx: 0
[548376.735150] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8707, bssidx: 0
[548439.695475] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8708, bssidx: 0
[548502.734202] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8709, bssidx: 0
[548565.730372] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8710, bssidx: 0
[548628.676664] [dhd] [wlan0] wl_run_escan : LEGACY_SCAN sync ID: 8711, bssidx: 0
